Log Folder Path;~/Library/Application Support/PurpleRabbit/Logs/2025-08-16_16-03-53-0x1810862220011C;
DFU Mode: Restore;3.355;
DFU Mode: Transitioning;3.129;
Recovery: Restore;8.5564;
Recovery: Transitioning;61.5041;
RestoreOS: Restore;2414.8087;
RestoreOS: Transitioning;141.3984;
Total Restore Time;2632.752;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0.0001;
RestoreOS: Restore: usbcretimer_dfucheck;0;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0;
RestoreOS: Restore: client_protocol_version;0;
RestoreOS: Restore: copy_restore_options;0.08210000000000001;
RestoreOS: Restore: wait_for_debugger;0.0064;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0068;
RestoreOS: Restore: network_config_enforce;0.0064;
RestoreOS: Restore: is_host_compatible;0.0118;
RestoreOS: Restore: set_weight_from_options;0.008399999999999999;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0234;
RestoreOS: Restore: set_display_options;0.0065;
RestoreOS: Restore: check_for_untethered;0.0066;
RestoreOS: Restore: check_battery_voltage;0.0113;
RestoreOS: Restore: check_battery_capacity;0.0104;
RestoreOS: Restore: update_macos_ticket;0.0223;
RestoreOS: Restore: update_ticket;0.0183;
RestoreOS: Restore: wait_for_storage;0.0495;
RestoreOS: Restore: update_NAND_firmware;8.9321;
RestoreOS: Restore: clear_remap_variable;0.0041;
RestoreOS: Restore: print_nvram_variables;0.0045;
RestoreOS: Restore: asp_nand_set_writable;0.0023;
RestoreOS: Restore: find_filesystem_partitions;0.3754;
RestoreOS: Restore: verify_storage_for_update;0.0072;
RestoreOS: Restore: load_sep_os;2.9347;
RestoreOS: Restore: preload_keys_for_fsck;0.0092;
RestoreOS: Restore: fsck_filesystems;0.0158;
RestoreOS: Restore: mount_system_partition;0.951;
RestoreOS: Restore: fix_cache_delete;0.0074;
RestoreOS: Restore: clean_update_volume;0.0066;
RestoreOS: Restore: space_checks;0.0075;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0078;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0064;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.0071;
RestoreOS: Restore: fdr_create;2.0281;
RestoreOS: Restore: fdr_save_data;0.0098;
RestoreOS: Restore: sep_attest_qa;0.0074;
RestoreOS: Restore: certify_sep;0.0072;
RestoreOS: Restore: syscfg_presubmit_fdr;0.008500000000000001;
RestoreOS: Restore: check_for_restore_log;0.008399999999999999;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.6943;
RestoreOS: Restore: unmount_unconditionally;0.0326;
RestoreOS: Restore: clean_nand;2.9273;
RestoreOS: Restore: clear_nvram;0.0091;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0226;
RestoreOS: Restore: format_effaceable_storage;0.009900000000000001;
RestoreOS: Restore: format_ean_storage;0.0148;
RestoreOS: Restore: create_filesystem_partitions;0.0636;
RestoreOS: Restore: update_partitions_for_apfs;0.0145;
RestoreOS: Restore: reload_filesystem_partitions;0.0316;
RestoreOS: Restore: format_media;8.748699999999999;
RestoreOS: Restore: find_volumes_after_format;0.054;
RestoreOS: Restore: provision_mesa;0.0104;
RestoreOS: Restore: prepare_for_system_image;2.5143;
RestoreOS: Restore: init_gigalocker;1.5391;
RestoreOS: Restore: init_permanent_update_volume;1.5005;
RestoreOS: Restore: mount_filesystem;1.996;
RestoreOS: Restore: restore_system_image;0.0109;
RestoreOS: Restore: write_persistent_files;0.0457;
RestoreOS: Restore: perform_short_prepare;0.0083;
RestoreOS: Restore: fdr_restore_saved_data;0.0339;
RestoreOS: Restore: write_factory_version_plist;0.0113;
RestoreOS: Restore: update_aht;0.1443;
RestoreOS: Restore: fdr_prepare;0.016;
RestoreOS: Restore: install_stage1_firmware;0.0078;
RestoreOS: Restore: aru_migrate_data;0.0107;
RestoreOS: Restore: await_provisioning_mesa;0.0121;
RestoreOS: Restore: fdr_recover;14.0435;
RestoreOS: Restore: fdr_auto_challenge_claim;0.009599999999999999;
RestoreOS: Restore: send_provisioning_info;0.0072;
RestoreOS: Restore: certify_lynx;0.1774;
RestoreOS: Restore: write_0cfg;0.0583;
RestoreOS: Restore: update_veridian;0.6820000000000001;
RestoreOS: Restore: update_iBoot;9.5732;
RestoreOS: Restore: update_ean;0.5071;
RestoreOS: Restore: update_stockholm;0.0291;
RestoreOS: Restore: update_rose;0.0196;
RestoreOS: Restore: update_se;0.0209;
RestoreOS: Restore: update_tcon;0.0139;
RestoreOS: Restore: update_appletcon;0.0162;
RestoreOS: Restore: update_orion;0.0158;
RestoreOS: Restore: update_madea;0.0133;
RestoreOS: Restore: update_peppy;0.0071;
RestoreOS: Restore: update_nitrogen;0.0135;
RestoreOS: Restore: update_usbc;0.0126;
RestoreOS: Restore: update_centauri;18.1061;
RestoreOS: Restore: await_update_tcon;0.0287;
RestoreOS: Restore: await_update_appletcon;0.0134;
RestoreOS: Restore: await_update_orion;0.0131;
RestoreOS: Restore: await_update_peppy;0.0113;
RestoreOS: Restore: await_update_nitrogen;0.0137;
RestoreOS: Restore: await_update_usbc;0.0132;
RestoreOS: Restore: update_ace3;11.022;
RestoreOS: Restore: update_usbcretimer;103.1879;
RestoreOS: Restore: update_PFX;0.07140000000000001;
RestoreOS: Restore: update_PS190;78.2159;
RestoreOS: Restore: await_update_stockholm;0.0133;
RestoreOS: Restore: await_update_rose;0.0131;
RestoreOS: Restore: await_update_se;0.0134;
RestoreOS: Restore: await_update_update_veridian;0.0145;
RestoreOS: Restore: update_device_firmware;0.035;
RestoreOS: Restore: certify_yonkers;0.009299999999999999;
RestoreOS: Restore: aru_pre_seal_tasks;0.0294;
RestoreOS: Restore: dotara_lock;0.009299999999999999;
RestoreOS: Restore: update_syscfg;6.7378;
RestoreOS: Restore: submit_provinfo;0.0111;
RestoreOS: Restore: verify_fdr_data;6.8992;
RestoreOS: Restore: update_rose_postseal;0.0736;
RestoreOS: Restore: stage_fdr_ean;0.0516;
RestoreOS: Restore: ensure_fdr_ean;0.0427;
RestoreOS: Restore: update_fdr_ean;1.0351;
RestoreOS: Restore: update_fillmore;0.008800000000000001;
RestoreOS: Restore: fdr_verify_sealed_manifest;0.009900000000000001;
RestoreOS: Restore: commit_sep_os;4.0838;
RestoreOS: Restore: run_sep_eeprom_test;22.7058;
RestoreOS: Restore: pair_stockholm;0.0092;
RestoreOS: Restore: verify_se_pairing;0.0095;
RestoreOS: Restore: await_system_image_invert_retry;1022.8532;
RestoreOS: Restore: create_protected_filesystems;5.6192;
RestoreOS: Restore: create_volume_group;0.037;
RestoreOS: Restore: reserve_overprov_space;0.0095;
RestoreOS: Restore: install_regulatory_images;0.9965000000000001;
RestoreOS: Restore: read_new_os_build_version;0.0199;
RestoreOS: Restore: install_splat;0.0228;
RestoreOS: Restore: install_root;0.0073;
RestoreOS: Restore: install_overlay_roots;0.1109;
RestoreOS: Restore: install_splat_overlay_roots;0.0148;
RestoreOS: Restore: install_regulatory_images_root;0.0143;
RestoreOS: Restore: install_update_volume_root;0.0114;
RestoreOS: Restore: restored_fixup_system;573.6881;
RestoreOS: Restore: write_ticket;0.0368;
RestoreOS: Restore: fixup_var;0.8321;
RestoreOS: Restore: create_partition_mountpoints;0.0241;
RestoreOS: Restore: factory_restore_marker;0.0116;
RestoreOS: Restore: factory_ucrt;6.1199;
RestoreOS: Restore: factory_mac_check_flag;0.0122;
RestoreOS: Restore: aru_post_seal_tasks;0.0215;
RestoreOS: Restore: factory_sad_config;0.0113;
RestoreOS: Restore: create_production_ucrt;0.0117;
RestoreOS: Restore: create_production_dcrt;0.0103;
RestoreOS: Restore: store_device_time;0.0198;
RestoreOS: Restore: attest_restore;37.3984;
RestoreOS: Restore: set_one_time_boot_command;0.0129;
RestoreOS: Restore: set_nvram_variables;0.0283;
RestoreOS: Restore: persistent_boot_args;0.0182;
RestoreOS: Restore: set_tdm;0.0077;
RestoreOS: Restore: unprovision_mesa;0.0366;
RestoreOS: Restore: fsck_recovery_volume;1.3042;
RestoreOS: Restore: mount_recovery_os_filesystem;0.6704;
RestoreOS: Restore: macos_populate_system_recovery_os;175.5345;
RestoreOS: Restore: restored_install_system_recovery_basesystem_roots;0.0101;
RestoreOS: Restore: preserve_source_boot_objects;33.5797;
RestoreOS: Restore: macos_create_recovery_local_policy;1.0396;
RestoreOS: Restore: generate_default_local_policy;1.7915;
RestoreOS: Restore: populate_preboot_volume;4.6617;
RestoreOS: Restore: populate_isc_preboot_volume;0.7531;
RestoreOS: Restore: populate_paired_recovery_volume;124.6893;
RestoreOS: Restore: install_paired_recovery_basesystem_roots;0.0101;
RestoreOS: Restore: bless_system_volume;18.2542;
RestoreOS: Restore: boot_global_signed_centauri;0.0116;
RestoreOS: Restore: set_boot_command;0.0081;
RestoreOS: Restore: set_bootable;0.0157;
RestoreOS: Restore: seal_system_volume;79.9616;
RestoreOS: Restore: create_system_snapshot;3.7634;
RestoreOS: Restore: install_exclaveos_overlay_roots;0.0154;
RestoreOS: Restore: adjust_recovery_mode_output;0.0121;
RestoreOS: Restore: set_autoboot_delay;0.0366;
RestoreOS: Restore: dut_power_settings_handling;0.0071;
RestoreOS: Restore: unmount_filesystems;0.0722;
RestoreOS: Restore: cleanup_boot_command;0.0154;
RestoreOS: Restore: cleanup_recovery_os_volume;0.0069;
RestoreOS: Restore: cleanup_check_result;0.0067;
RestoreOS: Restore: cleanup_send_crash_logs;0.0098;
RestoreOS: Restore: cleanup_send_final_status;0.0588;
RestoreOS: Restore: cleanup_wait_status_received;0.0107;
RestoreOS: Restore: cleanup_write_restore_log;0.0067;
RestoreOS: Restore: cleanup_failure_warning;0.0067;
RestoreOS: Restore: cleanup_post_restore;0.0076;
RestoreOS: Restore: cleanup_release;0.0067;
RestoreOS: Restore: [ASYNC Task]  provision_mesa ;0.0138;
RestoreOS: Restore: [ASYNC Task]  restore_system_image ;1272.9157;
RestoreOS: Restore: [ASYNC Task]  update_veridian ;0.0194;
RestoreOS: Restore: [ASYNC Task]  update_stockholm ;0.519;
RestoreOS: Restore: [ASYNC Task]  update_rose ;0.0285;
RestoreOS: Restore: [ASYNC Task]  update_tcon ;0.017;
RestoreOS: Restore: [ASYNC Task]  update_appletcon ;0.0242;
RestoreOS: Restore: [ASYNC Task]  update_orion ;0.0178;
RestoreOS: Restore: [ASYNC Task]  update_peppy ;0.0148;
RestoreOS: Restore: [ASYNC Task]  update_nitrogen ;0.0161;
RestoreOS: Restore: [ASYNC Task]  update_usbc ;0.0157;
RestoreOS: Restore: [ASYNC Task]  update_se ;3.2904;
