Log Folder Path;~/Desktop/logs/2025-09-09_14-41-07-0x1810862220011C/archive_20250909_152601;
DFU Mode: Restore;3.3569;
DFU Mode: Transitioning;3.0932;
Recovery: Restore;8.6592;
Recovery: Transitioning;61.1256;
RestoreOS: Restore;2410.7273;
RestoreOS: Transitioning;140.9067;
Total Restore Time;2627.869;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0;
RestoreOS: Restore: disable_app_firewall;0;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0;
RestoreOS: Restore: client_protocol_version;0;
RestoreOS: Restore: copy_restore_options;0.0013;
RestoreOS: Restore: wait_for_debugger;0;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0;
RestoreOS: Restore: network_config_enforce;0;
RestoreOS: Restore: is_host_compatible;0;
RestoreOS: Restore: set_weight_from_options;0;
RestoreOS: Restore: libauthinstall_callback;0;
RestoreOS: Restore: set_device_time;0.0001;
RestoreOS: Restore: set_display_options;0;
RestoreOS: Restore: check_for_untethered;0;
RestoreOS: Restore: check_battery_voltage;0;
RestoreOS: Restore: check_battery_capacity;0;
RestoreOS: Restore: update_macos_ticket;0;
RestoreOS: Restore: update_ticket;0;
RestoreOS: Restore: wait_for_storage;0.0266;
RestoreOS: Restore: update_NAND_firmware;8.956200000000001;
RestoreOS: Restore: clear_remap_variable;0.0113;
RestoreOS: Restore: print_nvram_variables;0.007900000000000001;
RestoreOS: Restore: asp_nand_set_writable;0.0023;
RestoreOS: Restore: find_filesystem_partitions;0.5336;
RestoreOS: Restore: verify_storage_for_update;0.0071;
RestoreOS: Restore: load_sep_os;2.9273;
RestoreOS: Restore: preload_keys_for_fsck;0.0095;
RestoreOS: Restore: fsck_filesystems;0.0156;
RestoreOS: Restore: mount_system_partition;1.1017;
RestoreOS: Restore: fix_cache_delete;0.0072;
RestoreOS: Restore: clean_update_volume;0.0064;
RestoreOS: Restore: space_checks;0.0072;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.007900000000000001;
RestoreOS: Restore: read_previous_os_build_version;0.007;
RestoreOS: Restore: downgrade_check;0.0064;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.0069;
RestoreOS: Restore: fdr_create;2.0054;
RestoreOS: Restore: fdr_save_data;0.0101;
RestoreOS: Restore: sep_attest_qa;0.0073;
RestoreOS: Restore: certify_sep;0.0071;
RestoreOS: Restore: syscfg_presubmit_fdr;0.0083;
RestoreOS: Restore: check_for_restore_log;0.008500000000000001;
RestoreOS: Restore: check_for_uncollected_logs;0.0078;
RestoreOS: Restore: read_persistent_files;0.6949;
RestoreOS: Restore: unmount_unconditionally;0.0322;
RestoreOS: Restore: clean_nand;2.8373;
RestoreOS: Restore: clear_nvram;0.008699999999999999;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0228;
RestoreOS: Restore: format_effaceable_storage;0.009900000000000001;
RestoreOS: Restore: format_ean_storage;0.0149;
RestoreOS: Restore: create_filesystem_partitions;0.0634;
RestoreOS: Restore: update_partitions_for_apfs;0.0145;
RestoreOS: Restore: reload_filesystem_partitions;0.0314;
RestoreOS: Restore: format_media;8.7416;
RestoreOS: Restore: find_volumes_after_format;0.0531;
RestoreOS: Restore: provision_mesa;0.0104;
RestoreOS: Restore: prepare_for_system_image;2.5124;
RestoreOS: Restore: init_gigalocker;1.5502;
RestoreOS: Restore: init_permanent_update_volume;1.5122;
RestoreOS: Restore: mount_filesystem;2.0144;
RestoreOS: Restore: restore_system_image;0.0109;
RestoreOS: Restore: write_persistent_files;0.0488;
RestoreOS: Restore: perform_short_prepare;0.0066;
RestoreOS: Restore: fdr_restore_saved_data;0.015;
RestoreOS: Restore: write_factory_version_plist;0.0032;
RestoreOS: Restore: update_aht;0.1435;
RestoreOS: Restore: fdr_prepare;0.016;
RestoreOS: Restore: install_stage1_firmware;0.0077;
RestoreOS: Restore: aru_migrate_data;0.0095;
RestoreOS: Restore: await_provisioning_mesa;0.0119;
RestoreOS: Restore: fdr_recover;13.044;
RestoreOS: Restore: fdr_auto_challenge_claim;0.0097;
RestoreOS: Restore: send_provisioning_info;0.008200000000000001;
RestoreOS: Restore: certify_lynx;0.1756;
RestoreOS: Restore: write_0cfg;0.0552;
RestoreOS: Restore: update_veridian;0.6801;
RestoreOS: Restore: update_iBoot;10.4836;
RestoreOS: Restore: update_ean;0.4528;
RestoreOS: Restore: update_stockholm;0.0296;
RestoreOS: Restore: update_rose;0.0175;
RestoreOS: Restore: update_se;0.0226;
RestoreOS: Restore: update_tcon;0.0147;
RestoreOS: Restore: update_appletcon;0.0168;
RestoreOS: Restore: update_orion;0.0158;
RestoreOS: Restore: update_madea;0.0125;
RestoreOS: Restore: update_peppy;0.0111;
RestoreOS: Restore: update_nitrogen;0.013;
RestoreOS: Restore: update_usbc;0.0126;
RestoreOS: Restore: update_centauri;20.3411;
RestoreOS: Restore: await_update_tcon;0.0311;
RestoreOS: Restore: await_update_appletcon;0.0131;
RestoreOS: Restore: await_update_orion;0.0134;
RestoreOS: Restore: await_update_peppy;0.012;
RestoreOS: Restore: await_update_nitrogen;0.0132;
RestoreOS: Restore: await_update_usbc;0.0132;
RestoreOS: Restore: update_ace3;11.0183;
RestoreOS: Restore: update_usbcretimer;103.2165;
RestoreOS: Restore: update_PFX;0.06859999999999999;
RestoreOS: Restore: update_PS190;78.30589999999999;
RestoreOS: Restore: await_update_stockholm;0.0133;
RestoreOS: Restore: await_update_rose;0.0133;
RestoreOS: Restore: await_update_se;0.0125;
RestoreOS: Restore: await_update_update_veridian;0.0131;
RestoreOS: Restore: update_device_firmware;0.0365;
RestoreOS: Restore: certify_yonkers;0.0089;
RestoreOS: Restore: aru_pre_seal_tasks;0.0289;
RestoreOS: Restore: dotara_lock;0.0073;
RestoreOS: Restore: update_syscfg;7.7819;
RestoreOS: Restore: submit_provinfo;0.008800000000000001;
RestoreOS: Restore: verify_fdr_data;6.901;
RestoreOS: Restore: update_rose_postseal;0.0761;
RestoreOS: Restore: stage_fdr_ean;0.0492;
RestoreOS: Restore: ensure_fdr_ean;0.0427;
RestoreOS: Restore: update_fdr_ean;1.0365;
RestoreOS: Restore: update_fillmore;0.0089;
RestoreOS: Restore: fdr_verify_sealed_manifest;0.012;
RestoreOS: Restore: commit_sep_os;4.095;
RestoreOS: Restore: run_sep_eeprom_test;22.8501;
RestoreOS: Restore: pair_stockholm;0.0091;
RestoreOS: Restore: verify_se_pairing;0.008;
RestoreOS: Restore: await_system_image_invert_retry;1013.4797;
RestoreOS: Restore: create_protected_filesystems;5.5911;
RestoreOS: Restore: create_volume_group;0.0389;
RestoreOS: Restore: reserve_overprov_space;0.0094;
RestoreOS: Restore: install_regulatory_images;1.0036;
RestoreOS: Restore: read_new_os_build_version;0.0195;
RestoreOS: Restore: install_splat;0.0247;
RestoreOS: Restore: install_root;0.0073;
RestoreOS: Restore: install_overlay_roots;0.1101;
RestoreOS: Restore: install_splat_overlay_roots;0.0146;
RestoreOS: Restore: install_regulatory_images_root;0.0142;
RestoreOS: Restore: install_update_volume_root;0.0113;
RestoreOS: Restore: restored_fixup_system;576.0214;
RestoreOS: Restore: write_ticket;0.0363;
RestoreOS: Restore: fixup_var;0.8333;
RestoreOS: Restore: create_partition_mountpoints;0.0238;
RestoreOS: Restore: factory_restore_marker;0.0116;
RestoreOS: Restore: factory_ucrt;6.1446;
RestoreOS: Restore: factory_mac_check_flag;0.0121;
RestoreOS: Restore: aru_post_seal_tasks;0.0213;
RestoreOS: Restore: factory_sad_config;0.0114;
RestoreOS: Restore: create_production_ucrt;0.0117;
RestoreOS: Restore: create_production_dcrt;0.0102;
RestoreOS: Restore: store_device_time;0.0194;
RestoreOS: Restore: attest_restore;37.3891;
RestoreOS: Restore: set_one_time_boot_command;0.0126;
RestoreOS: Restore: set_nvram_variables;0.0278;
RestoreOS: Restore: persistent_boot_args;0.0181;
RestoreOS: Restore: set_tdm;0.007900000000000001;
RestoreOS: Restore: unprovision_mesa;0.0367;
RestoreOS: Restore: fsck_recovery_volume;1.2963;
RestoreOS: Restore: mount_recovery_os_filesystem;0.6627;
RestoreOS: Restore: macos_populate_system_recovery_os;175.667;
RestoreOS: Restore: restored_install_system_recovery_basesystem_roots;0.0103;
RestoreOS: Restore: preserve_source_boot_objects;33.4557;
RestoreOS: Restore: macos_create_recovery_local_policy;0.9948;
RestoreOS: Restore: generate_default_local_policy;1.7939;
RestoreOS: Restore: populate_preboot_volume;4.655;
RestoreOS: Restore: populate_isc_preboot_volume;0.755;
RestoreOS: Restore: populate_paired_recovery_volume;124.0981;
RestoreOS: Restore: install_paired_recovery_basesystem_roots;0.0101;
RestoreOS: Restore: bless_system_volume;18.1427;
RestoreOS: Restore: boot_global_signed_centauri;0.0114;
RestoreOS: Restore: set_boot_command;0.0081;
RestoreOS: Restore: set_bootable;0.0143;
RestoreOS: Restore: seal_system_volume;80.0701;
RestoreOS: Restore: create_system_snapshot;3.7546;
RestoreOS: Restore: install_exclaveos_overlay_roots;0.015;
RestoreOS: Restore: adjust_recovery_mode_output;0.012;
RestoreOS: Restore: set_autoboot_delay;0.0332;
RestoreOS: Restore: dut_power_settings_handling;0.007;
RestoreOS: Restore: unmount_filesystems;0.07099999999999999;
RestoreOS: Restore: cleanup_boot_command;0.0153;
RestoreOS: Restore: cleanup_recovery_os_volume;0.0069;
RestoreOS: Restore: cleanup_check_result;0.0066;
RestoreOS: Restore: cleanup_send_crash_logs;0.009900000000000001;
RestoreOS: Restore: cleanup_send_final_status;0.0589;
RestoreOS: Restore: cleanup_wait_status_received;0.0107;
RestoreOS: Restore: cleanup_write_restore_log;0.0068;
RestoreOS: Restore: cleanup_failure_warning;0.0067;
RestoreOS: Restore: cleanup_post_restore;0.0076;
RestoreOS: Restore: cleanup_release;0.0066;
RestoreOS: Restore: [ASYNC Task]  provision_mesa ;0.0138;
RestoreOS: Restore: [ASYNC Task]  restore_system_image ;1266.9385;
RestoreOS: Restore: [ASYNC Task]  update_veridian ;0.0213;
RestoreOS: Restore: [ASYNC Task]  update_stockholm ;0.5138;
RestoreOS: Restore: [ASYNC Task]  update_rose ;0.0306;
RestoreOS: Restore: [ASYNC Task]  update_tcon ;0.0166;
RestoreOS: Restore: [ASYNC Task]  update_appletcon ;0.0201;
RestoreOS: Restore: [ASYNC Task]  update_orion ;0.0159;
RestoreOS: Restore: [ASYNC Task]  update_peppy ;0.0169;
RestoreOS: Restore: [ASYNC Task]  update_nitrogen ;0.0166;
RestoreOS: Restore: [ASYNC Task]  update_usbc ;0.0156;
RestoreOS: Restore: [ASYNC Task]  update_se ;3.1574;
